,origin,tweet,label
26,ARC,الفرنسية مارين لوبان تقول لن نقبل أي مسؤول عربي في مستشفياتنا للتداوي من فيروس كورونا و تضيف كان لديهم 60سنة بين أيديهم لبناءمستشفيات محترمة و مشرفة لكنهم لم يفعلوا ذلك أتمنى أن لايستقبلهم أي مستشفى في أوروبا وأن يعالجوا في مستشفيات بلدانهم ليعرفوا حجم الضررالذي تسببوافيه لشعوبهم,False
27,ARC,"- #إيطاليا تفقد السيطرة كلياً عن إحتواء الفيروس 🦠 ورئيس الوزراء يقول باكيا :   "" إنتهت حلول الأرض ؛ الأمر متروك للسماء "" #إيطاليا  #الكورونا  #الحجر_الصحي  #StayAtHome  #StayAtHomeChallenge  #StaySafe  #StaySafeStayHome",False
28,ARC,خطير.. الصين تتهم أمريكا بنشر فيروس كورونا كحرب بيولوجية+فيديو @annasspress,False
29,ARC,مستشفيات الهند رفضت تعالج مرضى #كورونا من المسلمين.  الدولة المعفنة وصلت لهالدرجة 😠😠 كلاب يعطيهم العمى  #COVIDー19,False
30,ARC,"@France24_ar كل نصائح الأطباء للوقاية من التعرض لفيروس كورونا تنصب على ""غسل اليدين""،ونحن كمسلمين يأمرنا ديننا على غسل اليدين في جميع الأحوال في كل يوم،بدءاً بالوضوء ما لا يقل عن خمس مرات،فهل هناك دين أعظم من ديننا؟ #فيروس_كورونا_الصين  #غسل_اليدين",False
31,ARC,"#رتوال - صحة | رواية ""عيون الظلام"" تنبأت بظهور مرض #كورونا في الصين في ثمانينات القرن الماضي.  تُرى .. ما هي الروايات التي  لا تزال تنبؤاتها في رحم الغيب؟!",False
32,ARC,اتضح ان الفيروس يعيش في حرارة محدوده و هي حرارة مجرة التنفس الاقل حرارة في جسم الانسان لذلك الهواء الساخن بحرارة اكثر من 30 درجه قد يبطئ انتشاره في الرئة  لا يوجد مصدر انما هو رأي شخصي   #فيروس_كورونا,False
33,ARC,#فيروس_كورونا المربرب يعجبني ياخي ماعنده مزح 😭😭😂👇 رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به  (صاحب الحلول السريعة ),False
34,ARC,😵😮 إزاي؟ الترجمة العربية لرواية #عيون_الظلام للكاتب الأمريكي دين كونتز،بترجمة هبة جابري. وهي الرواية التي تنبأت عند صدورها في ثمانينيات القرن الماضي بظهور وانتشار #فيروس_كورونا_المستجدّ  لا فكرة لدي عن الترجمة وجودتها،الرواية صادرة عن دار سما ومتوفرة بمصر,False
35,MFH,مقال في الصحافه الفرنسيه: لاخوف على المنقبات لانهن الأقل عرضه لفيروس كورونا حيث أنهن لا يتبادلن القبل للتحيه او يتصافحون بالايدي او الأحضان وفوق ذلك كل جسدهن مستور ونظيفه بالوضوء المستمر وهي النصائح التي اطلقتها المتخصصون لتفادي العدوى الحمدلله على نعمة الإسلام.,False
36,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق,False
37,ARC,عاجل | إصابة اللاعب باولو ديبالا بفيروس #كورونا,False
38,ARC,@SalamehCarine أخبار جيدة كورونا فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي  طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها خذ ٨  فصوص ثوم كبيرة واهرسها.. اضف ٧ كؤوس ماء ثم أغلى الخليط.. كل الثوم واشرب من الماء المغلي. بين ليلة وضحاها (في غمضة عين) ستشعر بالتحسن🙏,False
39,4IF,"#ترامب: اتفقنا مع ""مودرنا"" على 100 مليون جرعة للقاح #كورونا المرتقب. يعلنها في نفس اليوم الذي أعلن فيه #بوتين عن إيجاد لقاح روسي للفيروس طلبت 20 دولة الحصول عليه. لا شيء في السياسة يحدث صدفة.",False
40,ARC,إن صحَّ خبر طالبة الدكتوراه أو لم يصحّ، فقد تحرَّك #كريستيانو_رونالدو بحسِّه الوطني والإنساني، وذلك بتحويل سلسلة فنادقه التي يمتلكها في وطنه البرتغال إلى مشافي للمُصابين ب #فيروس_كورونا_المستجدّ ، هذا الحِسّ الذي يجب أن يكون حاضرًا ومسيطرًا علينا جميعًا على قدر الاستطاعة,False
41,ARC,#كيف_ينتهي_فيروس_كورونا  بالوضوء الصحيح ,False
42,MFH,💣 على المباشر👇 مباشرة من البيت_الأبيض لم ينتبهوا للكاميرا مقطع مسرب لفريق عمل ترامب يتكلمون عن  كورونا_فيروس  بأنه خدعة وبأن اللقاح موجود وأنهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث. ويخبر أحدهم أن الوفيات مزورة وأن الفيروس ضعيف جدا حسبنا الله ونعم الوكيل.  https://t.co/X96Loz2wMT,False
43,ARC,#ثقافة_طبية #كورونا #كورونا_الجديد    فايروس كورونا قبل لايوصل الى الرئة يبقى في الحنجرة أربعة أيام وفي هذا الوقت يبدأ الشخص بالگحة والم الحنجرة  فاذا شرب ماءا كثيرا وغرغرة بالماء والملح او الخل يقضي بإءن الله على الفايروس انشر هذه المعلومات لتعم الفائدة,False
44,ARC,لبنان ينهي العام الدراسي حرصاً على طلبة المدارس من تفشي فايروس كورونا ,False
45,4IF,#عكاظ ترصد أحدث الدراسات العلمية وتطورات «ماراثون اللقاح» (2 من 2) دواء «العجز الجنسي».. معجزة ! #كورونا @OKAZ_online https://t.co/UDhczBryMk,False
46,ARC,@MrAhmedSD سبحان من انطق هذا المسخ ومن خلفه سبب انتشار فايروس كورونا لهذا السبب طلب تطعيم ومنح شهادة بوضع شريحة بجسم كل انسان اثبات بانه تم تطعيمه والهدف هوان تم تقييدابشرومعرفة كل شي عنهم اسلوب صهيوماسوني ريتشادي عليهم سخط الله وغضبه وبأسه الذي لايرد عن القوم الظالمين,False
47,4IF,المانيا تقول ان اختبارات لقاح #كورونا في روسيا لم تكن كافية .. هل هو موقف علمي ؟ ام موقف نابع من خسارة مالية بمليارات اليورو؟ بوتين امام اختبار المصداقية,False
48,ARC,@MohamedBinZayed تابعت بقلق بالغ انباء ترددت حول اصابة الاخ/محمد بن زايد رحم الله والده بفيروس كورونا نسال الله للشيخ الصحه والسلامه وجنبه وبلده وشعب الامارات الشقيق كل مكروه انه ولي ذلك والقادر عليه,False
49,ARC,#آمنا_بعمان أخبار جيدة..   *كورونا* فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي،  طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها👌🏻 -الطريقة👈🏻 خذ ٨  فصوص ثوم كبيرة واهرسها.. اضف ٧ كؤوس ماء ثم أغلى الخليط.. كل الثوم واشرب من الماء المغلي,False
50,ARC,انباء عن اصابة #شيطان_العرب  بفيروس كورونا !! نقل الناشط الحقوقي الاماراتي عبدالله الطويل عن مصدر خاص ان هناك اخباراً بأن محمد بن زايد موجود في الحجر الصحي بعد اصابته بفيروس كورونا، وهذا الامر الذي تتكتم عليه سلطات الامارات وداعاً#اكسبو_دبي #دوله_الزجاج_ستعود_رمال_لامحال,False
51,4IF,🌐 بعد انتهاء موسم #الحج هذا العام سوف يتم اكتشاف لقاح لفيروس كورونا لأن أهم أهداف فيروس كورونا هو تعطيل فريضة الحج وفي العام المقبل سوف يكون لديهم ذريعة جديدة لتعطيل الحج وهكذا الله المستعان #جريمة_منع_الحج ✍🏼 #زيد_البعوه,False
52,ARC,وصفة مهمة ل #كورونا حسب اطلاعي والله الشافي سبحانه وتعالى وهو #القرنفل (المسمار)  اما يتبخر بزيت القرنفل بالمبخره الزيتية  او يطحن تقريبا عشر الى ١٢ حبه قرنفل ويغليها بالماء ويتبخر ببخارها   نسأل الله السلامه للجميع,False
53,ARC,الثوم والشفاء من فيروس كورونا بإذن الله,False
54,ARC,#كورونا_الجديد بالأمس يقتل المسلمين ويمنع النقاب ويسجنهم ويعذبهم واليوم يأتيهم ذليل ومهان ويزورهم بالمساجد ويطلب منهم التضرع والدعاء الى الله ان يرفع البلاء عن العباد والبلاد في الصين ويصلي معهم وكأن الله أراد أمرًا وقال له كن فيكون ليتذكر الجميع لاملجأ ولامنجى من الله إلا إليه,False
55,MFH,بالاردن الفرق بينك وبين الي معه كورونا إنه هو عمل فحص وإنت لأ.,False
56,ARC,صدام_حسين يكتشف كورونا_يفضح_التهديد_الامريكي قبل ان لعالم #كورونا_فايروث_مفتعل_من_الامريكان_للقضاء_على_أقتصاد_الصين_والدول_التي_تحاول_ان_تفرض_نفسها__لذاك_ام #ان_تكون_عبداً_لهم_دون_ان_تصيح_في_اوجههم_كورونا_مفتعل_جريمة_يحاسب_بها المجرم,False
57,ARC,@AlArabiya_Brk للأسف وثيقة فاضحة من هيئة الطيران القطري تبين سبب انتشار وباء كورونا في قطر بشكل خطير. هل يعقل منع السفر الى الكويت وعمان واستثناء ايران و تركيا ؟ في منتهى الإهانة للبلد,False
58,MFH,الفرق الوحيد بينك وبين اللي معه كورونا.. هو عمل فحص وانت لا 😶,False
59,4IF,مدة ستة أشهر والعالم عاجز ومرعوب من #كورونا ليخرج في الاخير #طبيب بيطري روسي ويكتشف اللقاح يبدو ان العالم اسطبل كبير ..!!#العقود_يطالبون_بالترسيم,False
60,ARC,يهود في نيويورك عندهم جنازة طلب منهم البوليس عدم التجمع بسبب فايروس #كورونا ما انصاعوا للتعليمات لأنهم يعتقدون ان الفيروس ما يضرهم لأنهم أبناء الله اشتغلوا عليهم رشاشات ماء المطافي,False
61,ARC,بعد فايروس #كورونا أسراب من طايور الغربان  و الباعوض الكبير تهاجم الصين  ظاهرة قل نظيرها  ولم تحدث من قبل في دولة الصين الشعبية ...  شاهد ,False
62,ARC,“لقد فقدنا السيطرة، الوباء قتلنا نفسيًا وبدنيًا و عقليًا، لم نعُد نعي ماذا سنفعل، لقد انتهت جميع الحُلول على وجه الأرض، الحل متروك للسماء”  جوسيبي كونتي - رئيس وزراء #ايطاليا  #كورونا,False
63,ARC,@abohadi_94 أينانيوز/ متابعة/ كشفت مصادر محلية في دولة الإمارات، الاربعاء، عن إصابة ولي عهد أبوظبي محمد بن زايد، بفيروس كورونا المستجد. ونقلت وسائل اعلام خليجية، عن تلك المصادر، قولها، إن اجتماعات عقدت على أعلى المستوى لبحث محاولة السيطرة على تفشي الفيروس في الإمارات بعد تفاقم أعداد المصابين,False
64,ARC,#صدام_حسين  يتكلم عن فيروس #كورونا_الجديد  وكيفية التعامل معه,False
65,ARC,أعلنت الصين رسميا ومنذ ساعات قليلة عن نجاح المصل الفلسطيني التى قدمته الدكتورة منار سعدي الشناوي الى وزارة الصحة الصينية لعلاج فيروس كورونا والذي أثبت فاعليته بنسبة 100 % على اكثر من 7 حالات تم شفائهم، لتعلن الصين أن العلماء الأطباء الفلسطينيين اثبتوا للعالم   #تابع 👇👇,False
66,ARC,كوريا الشمالية تقرر إعدام أي أي شخص مصاب بفيروس كورونا,False
67,ARC,باولو ديبالا وُجدت له عينة ايجابية فيما يخص فيروس كورونا .. ثاني حالة في اليوفينتوس بعد روغاني,False
68,ARC,فيديوهات لآلاف الغربان تحلق فوق ووهان الصينية تثير الجدل,False
69,ARC,للشباب فقط : في ظل التوقعات عن إصابة تميم الفخذ بفيروس كورونا هل تتوقع أن يكون الفيرس انتقل لتميم من أحد المسؤولين  الإيرانيين عن طريق : #مباشر_قطر_اصابة_تميم_بكورونا  #هشام_عشماوي  #كورونا  #ادعم_وزيرة_الصحة  #عود_البطل  #قطر_تشعل_المغرب  #قطر #قطر_كورونا #اردوغان_النازي_الجديد,False
70,4IF,الرئيس الروسي فلاديمير بوتين يعلن تسجيل أول لقاح في العالم مضاد لفيروس #كورونا يذكر ان ترامب من 3 أشهر اعلن هو الاخر عن لقاح للفيروس بعدما تزايدت الحالات فى امريكا فهل روسيا مع وصلولها للمليون مصاب هو ما دفعها للاعلان عن وجود لقاح السياسيين يعتمدوا على ضعف الذاكرة لدينا https://t.co/yXUTJCpMLt,False
71,ARC,"سبحان الله أول مره نفرح بقدوم الغبار والسبب كلنا عندنا معلومه بأن ""الفيروسات الغير مرئيه"" لايقضي عليها الا الغبار فسبحانك ربي ما أعظمك وما ألطفك بعبادك سبحان الله الذي سير الغبار إلينا في وقت لم نعتاد على الغبار في مثل هذا الوقت وهذا الشي. الحمد الله دائماً🤲🏼♥️. #كورونا_الكويت",False
72,4IF,علماء يهدفون إلى إنتاج مليون جرعة من لقاح جديد لـ #كورونا بحلول سبتمبر https://t.co/kLy7IC5PIA https://t.co/MasWllppsK,False
73,ARC,هل ينتقل #فيروس_كورونا عن طريق الحيوانات؟ #بتوقيت_مصر,False
74,ARC,وزارة الصحة العراقية تطالب بإغلاق المعابر الحدودية مع #إيران خوفاً من #كورونا,False
75,ARC,موقع إسرائيلي : إصابة فيروس كورونا بمحمد بن زايد,False
76,ARC,“لقد فقدنا السيطرة، الوباء قتلنا نفسيًا وبدنيًا و عقليًا، لم نعُد نعي ماذا سنفعل، لقد انتهت جميع الحُلول على وجه الأرض، الحل متروك للسماء”  جوسيبي كونتي - رئيس وزراء ايطاليا #كورونا,False
77,ARC,أعلنت الصين رسميا ومنذ ساعات قليلة عن نجاح المصل الفلسطيني التى قدمته الدكتورة منار سعدي الشناوي الى وزارة الصحة الصينية لعلاج فيروس كورونا والذي أثبت فاعليته بنسبة 100 % على اكثر من 7 حالات تم شفائهم، لتعلن الصين أن العلماء الأطباء الفلسطينيين اثبتوا للعالم أجمع أنهم افضل اطباء,False
78,ARC,#كورونا_لبنان  الكمامة واليانسون سبل الوقاية في لبنان الله يلطف,False
79,4IF,تونس تعلن الشروع في تطوير لقاح ضد فيروس كورونا المستجد https://t.co/Y6Bq7H1dB7,False
80,ARC,@a77_xxxx هام كورونا فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي  طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها خذ ٨  فصوص ثوم كبيرة واهرسها.. اضف ٧ كؤوس ماء ثم أغلى الخليط.. كل الثوم واشرب من الماء المغلي. بين ليلة وضحاها (في غمضة عين) ستشعر بالتحسن والشفاء,False
81,MFH,"#لبنان وزير الصحة عن #كورونا : ""اِن الموت لنا عادة وكرامتنا من عند الله الشهادة"" #لا_داعي_للهلع #سنموت_بعد_قليل  #coronavirus #COVID19",False
82,MFH,🔴  عاجل 🔴     كورونا يعلن مغادرته لبنان بشكل نهائي والسبب هو الله لا يعلق حدا بلسان اللبنانية 😎   #سنموت_بعد_قليل #كورونا_لبنان  #كورونا,False
83,ARC,النقاب والوضوء هم الواقي من فايرس كورونا سبحان الله يا الله وين الي يمنعون النقاب ظهر الحق النقاب ستر ووقايه  الاسلام دين الحق  #كورونا_الصين,False
84,4IF,يعتقد الخبراء الصينيون أن #كورونا قد يتسبب في تلف الخصيتين وعقم الذكور ، ويوصي الرجال المصابين بإجراء اختبارات لجودة السائل المنوي ومستويات الهرمون،، **إن صدق اعتقادهم فالفايروس انتاج مختبرات 100%للسيطرة على الانفجار السكاني،وإلا ماعلاقة مرض تنفسي يؤثر على الخصوبة!! URL,False
85,ARC,الرئيس الصيني يزوراحدالمساجدويطلب من ائمة المسجدالدعاء الى الله ان ينجيهم من ماهم فيه سبحان الله 🌛انشر المقطع عشان يعرفون قوت الله سبحانه دحين عرفت تزور المساجد بعد ماقفلها وتهض حقوق المسلمين الله اكبر الله اكبر يبغاهم يدعوله🌜  #كورونا_الجديد,False
86,ARC,#قاطعوا_المنتوجات_السعودية مثلما قاطعها الكويتيون بعد نشر صحيفة كويتيه لخبر إصابة بعض العاملين في #شركة_المراعي الامر الذي تكتمت عليه الحكومة السعودية. #كورونا_المستجد,False
87,ARC,الحكومة الصينية تسمح للمسلمين الصينيين بالصلاة في الميادين العامة للتضرع الى الله برفع بلاء #كورونا   #مساء_الخير,False
88,ARC,الإمارات.. إصابة محمد بن زايد بـ”كورونا” وقرار عاجل بتأجيل اكسبو دبي 2020,False
89,ARC,الله عليكى يام الدنيا نجاح المصل المصرى لعلاج فيروس #كورونا  فى الصين منذُ ساعات اعلنت وزارة الصحة المصرية عن نجاح المصل المصرى واثبت نتائج فعالة جداً  تحيا مصر وعاش رئيسنا وعلماء مصر ام ادنيا الله أكبر الله أكبر عاشت مصر بنحبك يا #سيسى,False
90,ARC,@safa7_barca @nadjib__fcb اراد العالم الامريكي دمتري تدمير الصين وايران وايطاليا فخرج الفايروس عن السيطره وقتله هو وزوجته وبنته والان امريكا تعلن ان الوباء خرج عن السيطره .... مخترع  فايروس كورونا  العالم الأمريكي الذي اخترع فايروس كورونا كسلاح جرثومي لتأديب الشعوب التي تتحدى أمريكا ينشر الفايروس .يتبع,False
91,ARC,#بوابة_الوفد| #فيديو.. مدير مستشفى سابق ينصح بـ #الوضوء لمواجهة #فيروس_كورونا,False
92,MFH,"صحيفة أجنبية بدأت مقالها  بـ "" فيروس كورونا يكره النقاب""  الترجمة:المنتقبات لن يخفن من العدوى وهن اقل عرضة لـ كرونا لأنهن لا يصافحن بالايدي ولايقبلن ولا يعانقن وهذه الشروط او بالاحرى الاحتياطات الموصى بها من العلماء لتفادي الاصابةالى نساء العالم ارتدو النقاب فهوامن  #يوم_الجمعة  https://t.co/Z0fvAIUjQ1",False
93,ARC,I've just posted a new blog: ورد الان: الصين تعلن الحرب النووية على أمريكا وتتوعد بمسح واشنطن من على وجه الأرض وتتهمها رسميا بالوقوف وراء فيروس كورونا,False
94,4IF,سُئلت عن اللقاح الروسي، بخصوص #اللقاح #الروسي أو أي لقاح يجب أن يكون آمن وفعّال لكي يُصرح باستخدامه ويتم ذلك عن طريق إجراء الدراسات الإكلينيكية ولم أطلع على دراسات اللقاح الروسي لأني لأعرف هل نشرت أو لا. أعتقد أن اللقاح الفعّال بشكل كبير وأيضا آمن قد يأخذ وقت. https://t.co/LohMJ84miv,False
95,MFH,كورونايكره لمنقبات عنوان جريدة فرنسية الترجمة المنقبات لن يخفن من العدوى، وهن الأقل عرضة لكورونا لأنهن لا يصافحن ولا يُقبِّلن ولا يعانقن، وهذه هي الشروط أو بالأحرى الاحتياطات الثلاثة الموصى بها من طرف العلماء لتفادي الإصابةإلى نساء العالم تدين النقاب فهو العلاج  الوحيد ضد كورونا  https://t.co/jN0vqKBguB,False
96,MFH,#ايران_تصدر_كورونا_للخليج هذا سلاحها تصدره ويحمله خونة الدين والوطن والانسانيه .,False
97,MFH,عوارض #كورونا. هيك هيك وصل على لبنان يرجى الإنتباه  #سنموت_بعد_قليل  https://t.co/pjVvqyAf06,False
98,4IF,العالم يتسابق لانتاج اللقاح والأنظار تتجه إلى الأسعار الآن.. شركة #مودرنا تُسّعر جرعة لقاحها ضد #كورونا بين 32 و 37 دولارا للتعاقدات الصغيرة https://t.co/K1rXOKBJ8y #العربية,False
99,ARC,من الملاحظ أن أنتشار كورونا ينتشر بقوه فى المناطق الشمالية فى الدول المبوءه وهى المناطق البارده فى شمال الصين وقم شمال أيران وشمال أيطاليا وعدم أنتشاره فى جنوب تلك الدول لأنها دافئه ..الصيف الحار فى الخليج سيقضي عليه ,False
100,ARC,يقال وهو قول ليس بمرجوح أن كورونا ماهي الا حرب بيولوجية تستهدف الصين وهو ليس بجديد فقد صرح صدام حسين منذ اكثر من ثلاثة عقود عن حرب بيولوجية أمريكية بفيروس  كورونا #السيسي_عدو_الله #ارحل_ياسيسي   #حلب   #الإيغور #تركستان_الشرقية #العراق_ينتفض  #كورونا #تعليق_الدراسة_في_مصر,False
101,ARC,@moatazmatar القناة العبرية ١٢: تعلن إصابة ولي عهد أبو ظبي محمد بن زايد بفيروس #كورونا,False
102,MFH,الصين يشوفون اي حيوان ياكلونه الهند يشوفون اي حيوان يعبدونه الكويت يشوفون اي حيوان ينتخبونه  #خالد_كورونا #كرونا_في_الكويت,False
103,ARC,فيديو لصدام حسين يتحدث عن فيروس كورونا عندما هددوه الأمريكان به في التسعينات..وقاعدين الوزرا عكراسي بلاستيك...!!!,False
104,ARC,بشرى سارة.. #الصين تتوصل لعلاج جديد لـ فيروس #كورونا #صدى_البلد #البلد,False
105,ARC,🔴عاجل :  🔴إصابة محمد بن زايد بـ”كورونا”  كشفت مصادر محلية في الإمارات، عن إصابة ولي عهد أبوظبي محمد بن زايد، بفيروس كورونا القاتل، مشيرة إلى أن اجتماعات عقدت على أعلى المستوى لبحث محاولة السيطرة على تفشي الفيروس في الإمارات بعد تفاقم أعداد المصابين,False
106,4IF,🌍🌍🌍الأرض ثابتة ☀️ ومستقرة🌍🌍🌍 الترجمة: لذلك ... تدرس جامعة ييل عقول الأمريكيين لإعدادهم لقاح COVID. القناع ، والإبعاد الاجتماعي ، والإغلاق ، ودورة الأخبار ... جزء من الغرض المقصود هو إرهاقك عقليًا وجعلك تقبل حلهم المتسارع للفيروس. https://t.co/xz6WUcKAoG,False
