"full_text","source"
"الغوغاء الأعزاء، يبارك لكم عندليب الكاريكاتير العربي عبوركم إلى العام الجديد ويخبركم أن موعدكم قد حان مع فقرتكم الحبيبة ""كاريكاتير الغوغاء"". أتحفونا بتعليقاتكم، لنعيد نشر الرسم مع التعليق الحائز على أكبر عدد من الإعجابات، والتعليق الفائز باختيار هيئة كبار علماء الحدود 

@_Andeel_ https://t.co/50E0kjtcH3","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"كيف وجدت العام الجديد حتى الآن؟
 ١- سيكون ١٤٩١ عاماً رائعاً
 ٢- أرجو أن نحترم خصوصيات بعضنا، وليهتم كل شخص بعامه 
 ٣- ممتاز، لم يكن ينقصني هذا العام إلا خفة دمّك 
 
يمكنك التصويت مباشرةً من خلال الرابط:
https://t.co/7GJ8OtZbsC https://t.co/i7Nd2oTrTs","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"وقال أبو طلال بعدما صلى على النبي ومسح وجهه بنور الرحمن إنه أدرك حقاً أن ابنه حيوان ابن حيوان مذ كان طفلاً 

https://t.co/l3bjrLrpfi","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"جريدة الرياض تصنف القادة، ويا للمفاجأة! محمد بن سلمان هو الفائز 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #صرة_الدنانير هنا:
https://t.co/jMKRu5CO4T https://t.co/3qroneIJ0b","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#ليتها_الحدود

https://t.co/Xy0NobICDD","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/TAYTdNiR9G","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#درر الحدود https://t.co/i1ttLKOLbK","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"لأنه اقتحام بتعزيزات عسكرية وليس زيارة ودية لمجمع تجاري https://t.co/SXVU7p5kNz","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/8r9SINhznx","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"وانطلاقاً من تفهّم فريق التسويق انزعاج بعض المستخدمين من كثرة التنبيهات وإغراق صندوق الوارد في إيميلاتهم بالنشرات، حرصوا على تضمين زر ""عدم اكتراث"" في أسفل النشرة يمكن للمستخدم النقر عليه للاشتراك في النشرة البريدية التي تحتوي على زر إلغاء الاشتراك في النش 
https://t.co/wMNoiKmIyZ","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"زيارة زيارة؟ مع شاي وقهوة وحلويات؟ https://t.co/BeQyn6VFDW","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أنعم الله علينا بأن خلق لنا شيوخاً ورجال دين وفقهاء يفكرون عنا ويريحونا من عناء تطوير مهارات نقدية، ويعفونا من الحاجة للتعامل مع أفكار معقدة مثل المنطق وما علينا فعله بأعضائنا التناسلية. 

https://t.co/G7KZ55Dh9X","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/4G6fBHmVZj","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"إيران تستغل فرصة ارتفاع إيرادات العراق من النفط وترفع عليه فاتورة الكهرباء

https://t.co/zK55A7I3EP https://t.co/NqklgVAhvo","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"طفل ينام بسلام بعد تسليمه شعلة البقاء مستيقظاً لأخيه

https://t.co/rEKfDZ7B87 https://t.co/JzOfNPTkFi","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"الإنسان يخسر حريته لحظة قرار والديه الاستفادة من حرية إنجابه، وإن استعادها كلياً، أو جزئياً، فإنها ستنتهي عندما تبدأ حرية الآخرين، الذين تنتهي حريتهم كذلك عندما تبدأ حريتك، وهكذا يبقى الجميع في حلقة تبادل حريات. 

https://t.co/Mt3PldNhG8","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"""زعلانين"" لأجلك

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #أفضل_خطاب_كراهية هنا:
https://t.co/jMKRu5CO4T https://t.co/iarrKIKL0Y","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/h5J1Yca3ev","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"قال رئيس أركان الجيش الإسرائيلي هرتسي هاليفي إنّ البشر يتزوجون لإشباع حاجاتهم الجنسية وإنجاب أطفال يحملون أسماءهم، لكنّ الفلسطينيين يتناسلون لتهديد الأمن القومي الإسرائيلي حيث يُخطط الجنين الفلسطيني من داخل رحم أمه لعمليات ضد إسرائيل 

https://t.co/7fbnMPakiO","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"ووبّخ السفير الأميركي الحكومة الإسرائيلية بعبارات شديدة اللهجة مثل ""تقويض الوضع الراهن"" و""العمل أحادي الجانب""، داعياً نتنياهو إلى النضج والتعامل مع نفسه كرئيس حكومة لدولة عظيمة تمتلك جيشاً يتكفل بالبطش بالبشر 

https://t.co/1i9WCMEtQM","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"العراقيون أثناء فشلهم في رؤية آثار الارتفاع القياسي لإيرادات النفط نظراً لانقطاع الكهرباء https://t.co/IqqmIxEq4Q","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"مقال بألف بوست إنستاغرام من صفحة ""فزاع""

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #صرة_الدنانير هنا:
https://t.co/jMKRu5CO4T https://t.co/OuVLzLVTUY","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/kLirRsPfAl","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"""وبدأ قيس منذ اللحظة الأولى لإعلان الإضراب العام في إصدار حزمة من المراسيم لحل الأزمة """"وجهت الديوان الرئاسي بالبحث عن سائس خيول نشيط  وتحويل قاعات قصر قرطاجة إلى اسطبلات لاستقبال الخيول التي ستتشرف بركوبي على ظهرها"" 

https://t.co/3lHwFugXlc","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"نفت وزارة الداخلية السورية بشكلٍ قاطع ما نفته قبل شهرين بشكل قاطع من إشاعات بثتها وسائل الإعلام المحلية عن رفعها أسعار الدفتر المغلفة بجلدٍ أزرق، والمسماة ""جوازات السفر"" 

https://t.co/b7LUB3Nxh0","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"ما لم تكن تعرفه عن الرئيس البرنس الدكر عبد الفتاح نور عنينا السيسي، الذي فاز بالرئاسة تلقائياً بشكل ديمقراطي بعد انتصاره في حرب خاضها ضد الشعب المصري بأسره. https://t.co/9q3ntoQfMW","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#عاجل: بعد إغرائه بعقد عمل وحياة رغيدة، مالك نادي النصر يسحب جواز سفر رونالدو ويمنعه من السفر https://t.co/WLAqKoNv56","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#ليتها_الحدود
https://t.co/YbPVgI8le5","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#عاجل: مطالب شعبية بشطب كلمة «جواز» رسمياً من جوازات السفر السورية https://t.co/8leHl8gog3","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"عودوا إلى دياركم فقد أخذنا تمويلاً على ظهوركم وانتهينا 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #أفضل_خطاب_كراهية هنا:
https://t.co/jMKRu5CO4T https://t.co/rX9FL3tLix","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/a3iNHbggVn","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أطلق علماء النفس على حالة باسم متلازمة: التمسحة+، محذرين من احتمال وجود تماسيح أخرى على اعتبار أن باسم أول عينة عشوائية أُجريَ عليها الاختبار. 

https://t.co/Pn7iJr0R6O","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"نعرف أنك تعايشت مع الروتين، لكن المشكلة تكمن في سنواتٍ وسنوات من ممارسته على نفس الأريكة وتقليب نفس المواقع وفتح وإغلاق نفس الثلاجة حتى صار مللك مملاً، خاوياً، بائساً. لذا، نقدم لك الطرق التالية لتنعش الملل وتمضي قدماً في فراغ حياتك. https://t.co/kQUvo0ktzI","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"""ظننت أنه خطأ مطبعي وقعت به دار النشر وكتبته بالفارسية، لكنهم أخبروني عند تواصلي معهم أن المترجم لم يجد وسيلةً للتعبير أبلغ من المصطلحات النبطية التي استخدمتها العربية المبكرة في أوائل أيامها"" 

https://t.co/bW9Rf1yQSV","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"شهد ربيع عام ٢٠٢٠ ولادة تطبيق دردشة صوتية يُدعى كلوب هاوس (ClubHouse)، حاملاً معه آمالاً عريضة بمستقبل واعد لكل إنفلونسر صاعد وطموح لم ينجح بنيل الشهرة والحديث عن طموحه في سناب تشات وتيك توك 

https://t.co/DPnFxjNke4","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"شخبط شخابيط لخبط لخابيط مسك الألوان ورسم عالإقليم 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #البوق_الإعلامي هنا:
https://t.co/jMKRu5CO4T https://t.co/jWvQSrstRs","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/g6LhCRwcL9","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"ما هي وسيلة التدفئة التي تعتمدها؟

١- إشعال الأوراق النقدية عديمة القيمة.
٢- إشعال نار الغيرة مع الشريك.
  ٣- حرارة الإيمان .  

يمكنك التصويت مباشرةً من خلال الرابط:
https://t.co/7GJ8OtZbsC https://t.co/HOUtDoYz02","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"قريباً عند ""خبرني"" = ١٠ ملايين سنة 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #الكذب_الصريح هنا:
https://t.co/jMKRu5CO4T https://t.co/IKnoSaRChS","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"مبارك الصورة الجديدة أ. د. محمد، نتمنى أن تغيّر مواضيع مقالاتك كذلك

 هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #صرة_الدنانير هنا:
https://t.co/jMKRu5CO4T https://t.co/WMqeVhPoPo","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/z3tTxfkX6i","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/CK3P7IBzwO","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"https://t.co/mNt81cWKHb","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"https://t.co/tvIaww0xoL","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"https://t.co/rHgyQ6p8Le","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"ما هو الأسوأ الذي تخبئه لكم السنة الجديدة أكثر من العام الحالي؟ أنت تسأل وعرّافة الحدود الأستاذة بلقيس تجيب https://t.co/BJY8Aoek8W","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#درر_الحدود https://t.co/sXfLHLmFJE","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/0jEi7SGy24","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/CxavERwTlZ","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"لا داعي لتخبئة كراهيتك بين السطور https://t.co/RNp1L0zNRO","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/UotA6kbMED","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/7oQCARxGQ5","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أجمل رسائل المعجبين التي رفعت معنوياتنا لهذا العام 
#بريد_المعجبين https://t.co/YVsbHDKEpP","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أجمل رسائل المعجبين التي رفعت معنوياتنا لهذا العام #بريد_المعجبين https://t.co/JJnkrtaw2m","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"لا مصالح ... عبث لوجه الله 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #البوق_الإعلامي هنا:
https://t.co/jMKRu5CO4T https://t.co/N6geaCQByo","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/l1gtKoyixn","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/9YXeSTFeZa","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أفضل خمسة أخبار ساخرة لم تكتبها الحدود
  #ليتها_الحدود https://t.co/cs8D8odcHY","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"أفضل خمسة أخبار ساخرة لم تكتبها الحدود
 #ليتها_الحدود https://t.co/dEJHoEtLlS","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"https://t.co/E5fNyZ6joJ","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"هل أنتَ إنسان فاشل؟ هل تجلس في رأس السنة وحيداً تُفكّر بحماقاتك خلال العام الفائت معتقداً أنّك الفاشل الوحيد على وجه الأرض؟ لا تجلد نفسك. فأنتَ مجرد شخص بسيط خُلق ليكون فاشلاً، وكلّما شعرت بالسوء تذكّر أنّك لستَ وحدك. https://t.co/bqy3DNEouj","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"نخشى أن يصدق ابن سلمان كلامك ويفتتح هيئة ترفيه عالمية 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #صرة_الدنانير هنا:
https://t.co/jMKRu5CO4T https://t.co/AMyCeBvTro","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/XsffmYUrpJ","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/P59SrdTYKn","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"منذ ولادته كان هو ملك الأردن المستقبلي. أُزيح من ولاية العهد في نعومة أظافره بسبب نعومة أظافره لكنها عادت إليه قبل أيام من وفاة والده الملك ليتشبث بها ويصبح أقدم حاكم عربي ما يزال في سدة الحكم حتى اللحظة. https://t.co/yrdYEG7akn","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"رحلة الصحافة الأردنية من التوجيهات الملكية السامية إلى التوجيهات الولي-عهدية السامية 

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #البوق_الإعلامي هنا:
https://t.co/jMKRu5CO4T https://t.co/Hd54gDnPv7","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/i3u8R0Liot","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"توقعات الحدود لأهم الأحداث التي تشهدها بلدان المنطقة، تأتيكم من عرافة الحدود بلقيس. صاحبة السجل الحافل من التوقعات الدقيقة والتي تحدث فعلاً، مثل ارتفاع أسعار النفط وأزمة الطاقة وتدني مستواك المعيشي وحصولها على زيادة العام الماضي من أبو صطيف. https://t.co/s9avfU32iS","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/rq1yqdtMR1","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"يشكو كثير من المواطنين عدم شعورهم بالحب تجاه أوطانهم، ويبرر هؤلاء الخونة غياب مشاعرهم بمبررات واهية كغياب حقوق بسيطة كالحرية والعدالة واحترام الإنسان. لكن، لكل مرض علاج، ولتفادي عرض نفسك على المختصين في المخابرات والأجهزة الأمنية، القادرين على علاجك من هذه المشكلة. https://t.co/uabzYzi6KL","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بدا هذا العام أكثر نشاطاً وحيويةً وامتناناً لرحلته، إذ أنعشت مداخن البيوت السورية رئتيه بعد أن وجدها خاليةً من الهباب ونظيفة تماماً من قلة الاستخدام وكأنها ثلاجاتهم. 

https://t.co/XyXJTMZysU","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"وبإمكان الصيصان أن يدوروا حول أمهم مبسوطين دون أن تهلع الصحافة العربية https://t.co/ryiJS874La","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/ZDuQjAvKyR","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"توقعات الحدود لأهم الأحداث التي تشهدها بلدان المنطقة، تأتيكم من عرافة الحدود بلقيس. صاحبة السجل الحافل من التوقعات الدقيقة والتي تحدث فعلاً، مثل ارتفاع أسعار النفط وأزمة الطاقة وتدني مستواك المعيشي وحصولها على زيادة العام الماضي من أبو صطيف. https://t.co/psDeHXaC6B","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"بعد تمرير مقالاتنا على معامل الحدود المركزية لتحليل البيانات بتقنية النانوسنتورو، يسرنا أن نقدم لكم المقالات الأكثر قراءة وتداولا لهذا العام: https://t.co/K76LZdp3Qf","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"مراسل روسيا اليوم لشؤون عيون القلب

هل يستحق هذا الخبر فرصة بالفوز في جائزة الحدود للصحافة العربية #جحصع؟ صوت له عن فئة #الخبر_الأقل_أهمية هنا:
https://t.co/jMKRu5CO4T https://t.co/I1gt6GQ96O","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"ما مدى استعدادك للسنة الجديدة؟ 

١- لن أذهب
٢- هل يمكن تأجيلها بضعة أشهر؟
٣- أعمل لآخرتي كأنني أموت غداً، وأعمل ليومي كأنني أموت غداً

يمكنك التصويت مباشرةً من خلال الرابط:
https://t.co/7GJ8OtZbsC https://t.co/M6cBizZlV0","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
"#حظك_اليوم https://t.co/OvK4mjqtD2","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
