"doc_id","text"
42,"#عاجل: فرنسا تدين رفعت الأسد بعد تأكدها بشكل قاطع من انتهاء صلاحيته https://t.co/ekQRzOXuPB"
43,"#عاجل: الإعلام الأردني ينأى بنفسه عن التدخل بشؤون الآخرين https://t.co/mygCNDqdkS"
44,"#عاجل: دي دبليو تنقل مقرّها إلى إسرائيل بعيداً عن القضاء الألماني المنحاز للفلسطينيين https://t.co/p3JZKVnfD2"
45,"#عاجل: أبو مازن يتوجه إلى وزارة الدفاع الإسرائيلية ليعلن عن حبّه لأجنبية اسمها إسرائيل https://t.co/fG5He0qvhe"
46,"#عاجل: الدولة المصرية تتراجع عن إزالة قبر طه حسين وتكتفي بتشويهه https://t.co/eVEncFB7m9"
47,"#عاجل: جهود دبلوماسية إيرانية لحل الأزمة السياسية في العراق https://t.co/MeV84avlKP"
48,"#عاجل: الصدر يضرب عن الطعام احتجاجاً على اعتزاله السياسة https://t.co/vQH4JpxVI8"
49,"#عاجل: الصدر يعلن الاعتزال النهائي للسياسة لحين تغييره رأيه https://t.co/k4FMUchk5Q"
50,"#عاجل: إشادة دولية بوقف إسرائيل قصف غزة وإعادة استقرار الحصار والقتل السلمي البطيء https://t.co/bepxO108sh"
51,"#عاجل: بايــدن يحقــق تارغــت اغتيــال الأشــرار https://t.co/TxOhkXsGTl"
52,"#عاجل: ملك المغرب يمد يده للجزائر كي تقبلها https://t.co/zbiR5x5vVi"
53,"#عاجل: ابن سلمان ينفق 500 مليار دولار لينحت بعصة للعالم طولها 170 كيلومتراً في الصحراء https://t.co/dOkSXXm15v"
54,"#عاجل: الإمارات تتعهد بملاحقة إسرائيل وكشف مجازرها مجزرة مجزرة وبناء الملاعب والملاهي فوقها https://t.co/KxbEh9csK5"
55,"#عاجل: بعد استضافته ابن سلمان وابن زايد، ماكرون يزور قبر الحجاج https://t.co/euhbLdIGJa"
56,"عاجل: قيس سعيد يؤكد أنه ليس طامعاً برئاسة تونس لأنه أساساً هو تونس https://t.co/4BXLAVJDV3"
57,"#عاجل: فتحي يا وردة غمضي يا وردة https://t.co/m41rswc0nM"
58,"#عاجل: تحقيق أمريكي يخلص إلى أن شيرين رفضت بوفاتها فرصة للسلام https://t.co/M7wEsTjhjb"
59,"#عاجل: محمود: شيرين مواطنة أميركية وبلدها أولى بالتحقيق في مقتلها https://t.co/GSotY15Ymt"
60,"#عاجل: الاتحاد الأوروبي يقرر ضم المغرب بصفة عضو مراقب للحدود https://t.co/3vAscnGSgg"
61,"#عاجل: الحكومة تقرر حظر الألوان https://t.co/WItJ8ke7op"
62,"#عاجل: معهد غوته: أرسلنا الدعوة ليعقوب، الذي احتل محمد الكرد بيته وصندوق بريده https://t.co/Kk1HY8XNMZ"
63,"#عاجل: السيسي يوقع اتفاقية إيلاج ماسورة إسرائيلية في مصر https://t.co/znJIoAmd5r"
64,"#عاجل https://t.co/fRb37Mybge"
65,"#عاجل: قيس سعيد يعزل قاضية بتهمة ممارسة حياتها https://t.co/od3h9KrUCH"
66,"#عاجل: إعلان ثلاثة أيام حداد وطني على الرئيس أبو مازن بعد أنباء عن بقائه على قيد الحياة https://t.co/TGiKlPD0UE"
67,"#عاجل: عون: لو انتخبتم فريقي لاستخرجنا الغاز وبعناه وصرفنا أمواله ولم نبق للعدو الإسرائيلي منه شيئا https://t.co/zLUWOJDQsy"
68,"#عاجل: الحزب الحاكم يعتذر عن التصريحات المسيئة للاقتصاد الهندي https://t.co/l2oNU6pHIJ"
69,"#عاجل: آمبر هيرد تثري حجج الرجال بعد 3500 سنة من تكرارهم قصة زليخة والنبي يوسف فقط https://t.co/gIfbfeTAo3"
70,"#عاجل: نبيه بري يتسلم من نبيه بري رئاسة مجلس نبيه بري https://t.co/yAaKpwYblq"
71,"#عاجل: الحكم بسجن أبو الفتوح ١٥ سنة بعد إدانته بمحاولة الترشح لانتخابات حرة ونزيهة https://t.co/7BBAS5bk60"
72,"#عاجل: البرهان يرفع حالة الطوارئ ليحل هو شخصياً مكانها https://t.co/9VTT7fiZvz"
73,"#عاجل: إردوغان يؤكد للاجئين السوريين أن عودتهم إلى بلادهم ستكون طوعية ولن تفرض عليهم إلا بالقوة https://t.co/8fZtZBZUbf"
74,"#عاجل: قيس سعيد يستثني تونس من الحوار الوطني https://t.co/K8o2L7nMLv"
75,"#عاجل: الأردنيون يشكرون الملك عبدالله على إحباط مخططات الأمير حمزة وإلا لكانوا سيعانون من البطالة والغلاء والفقر والقمع والفساد https://t.co/HzfBD2qgxx"
76,"#عاجل: جمال مبارك: بابا، انتصرنا على الشعب وثورة يناير https://t.co/tJElHELzt0"
77,"#عاجل: وصول مفاوضات تشكيل حكومة عراقية لمفترق طرق مسدودة https://t.co/DAGXBSChDi"
78,"#عاجل: الدبيبة وباشاغا ينعشان آمال الشعب الليبي بتغيير الوضع الراهن والعودة إلى نقطة الصفر https://t.co/VPPLNUqOrL"
79,"#عاجل: تجربة لبنانية جديدة تتمثل بالتصويت لذات المرشحين وتوقع نتيجة مختلفة https://t.co/iw41v5AwXD"
80,"#عاجل: السلطات اللبنانية تجدد حظر التجول على المخيمات لحين الانتهاء من فرز الأصوات وتشكيل حكومة وعودة اللاجئين إلى دولهم https://t.co/nzcTmZOc4P"
81,"#عاجل: بايدن: ما زلت لا أعلم ماذا حدث في جنازة شيرين أبو عاقلة https://t.co/aOWPj10TRM"
82,"#عاجل: تحقيق إسرائيلي يخلص إلى أن الجيش حاول إلزام المشيعين بالتباعد الاجتماعي https://t.co/JlBl6zrZ37"
83,"#عاجل: محمد بن سلمان يؤكد أن الدنيا حظوظ https://t.co/ngBJ99NdEi"
84,"#عاجل: بينيت يرفع قدميه على مكتبه ويأخذ غفوة خوفاً من عواقب اغتيال إسرائيل لشيرين أبو عاقلة https://t.co/8zTqNPJa8n"
85,"#عاجل: الإعلام الغربي يؤكد اعتراض شيرين أبو عاقلة لقطعة حديد وبارود صغيرة كانت تسبح في الهواء https://t.co/6zlr9CJ28O"
86,"#عاجل: العراق يغير لقبه إلى بلاد الرّاكِدَيْن https://t.co/UW3qHeSWAQ"
87,"#عاجل: بينيت يهدد باغتيال محمود عباس إن قصَّر مجدداً في اعتقال الفدائيين قبل تنفيذ عملياتهم https://t.co/8Ob9g3Z5kU"
88,"#عاجل: سيادة الرئيس الأسد يلم شمل معتقلين وذويهم في سجن أكبر https://t.co/zbdPWx9w9M"
89,"#عاجل: عبّاس وعبدالله الثاني يناقشان تطور الأوضاع في القدس وكأن الأمر يعنيهما https://t.co/uqnARUEPMh"
90,"#عاجل: فوز ماكرون بولاية ثانية بعد إقناعه الناخبين ببرنامجه القائم على أنه ليس لوبين https://t.co/mXx6W713NO"
91,"#عاجل: الجيش اللبناني يغرق قارب مهاجرين ظنوا أنهم قادرون على الهجرة مثل الدولار https://t.co/jN9y94YjIl"
92,"#عاجل: منصور عباس ينسحب من الحكومة الإسرائيلية لعدم تقيّدها بمبادئ الوسطية في التطرف https://t.co/NL6A4orZ9T"
93,"#عاجل: إسرائيل تمنع متطرفين من اقتحام الأقصى التزاماً منها بمبادئ عدم التعرض لصواريخ جديدة https://t.co/H0L6lJUGbs"
94,"#عاجل: السلطة الفلسطينية تعرض الوساطة بين الأشقاء الإسرائيليين والفلسطينيين https://t.co/MwnxFlOam2"
95,"عاجل: الأردن يؤكد أنه لم يكن يرغب باستخدام برامج تجسس إسرائيلية لو كان هناك بديل عربي https://t.co/Y3yMLZ6Inm"
96,"#عاجل: حمزة يتخلى عن لقب أمير لفقدان المؤسسة الملكية وطنيتها وحبها للناس أثناء نهبهم وقمعهم https://t.co/AWy3J7eD4x"
97,"#عاجل: حصرياً للحدود: الأردن رفض حضور قمة النقب لعدم تحمّله رؤية إسرائيل في علاقة مع أطراف أخرى https://t.co/jGHgW5OzAG"
98,"#عاجل: المشاركون في قمة النقب يعيدون تمثيل فيلم The Human Centipede https://t.co/Hxf67IH9oB"
99,"#عاجل: العالم يحث إيلون ماسك على تنفيذ تهديده بإنشاء منصة تواصل جديدة ليرحل إليها هو وجمهوره https://t.co/SVCElQxFHH"
100,"#عاجل: ًصورة حصرية للأعراب الأشَدُّ كفراً ونفاقا https://t.co/HRRIKyRVJM"
101,"#عاجل: طالبان تؤكد أن فتحها لأبواب المدارس أمام الإناث لا يعني دخولهن إليها https://t.co/tvtq6qYZ4M"
102,"#عاجل: الأسد في زيارة تاريخية لمحور الرجعية البترودولاري الإمبريالي https://t.co/a8ijZTvT2R"
103,"#عاجل: بايدن يفكر بمنح الحرس الثوري الإيراني إجازة من قائمة الإرهاب إلى حين انتهاء الأزمة الأوكرانية https://t.co/BTFdbNBVvL"
104,"#عاجل: المرتزقة في رحلة ربيعية إلى كييڤ https://t.co/HG4SOAnzzD"
105,"#عاجل: بايدن يطمئن زيلينسكي أنه سيردع بوتين بعصر ملامح وجهه بشكل مضاعف https://t.co/vp2TJQgSCe"
106,"#عاجل: الغرب يتوعد بوتين برد حاسم إذا تجرأ على اجتياح بولندا https://t.co/Bf60LieuND"
107,"#عاجل: الكويت تمنح البدون حق الشعور بالتعاسة وحرية الانتحار https://t.co/OeyrRP3DaM"
108,"#عاجل: ابن زايد يهدي إردوغان حسين الجسمي بمناسبة عودة العلاقات https://t.co/7dIXgDUCYj"
109,"#عاجل: بينيت يطمئن على الجالية الصهيونية في البحرين https://t.co/FVD29jk9Ii"
110,"#عاجل: اسرائيل تتهم الفلسطينيين باتخاذ منازلهم كدروع بشرية https://t.co/m70ZaQIMVc"
111,"#عاجل: الجهـات المختصة في سوريا تنجح بتحريـر خبر عن عودة الطفل فواز قطيفان بعد دفع عائلته الفدية https://t.co/QTom1lONHi"
112,"#عاجل: السلطة الفلسطينية ترد بسرعة وقوة على اغتيال شباب فتح وتزيل أعلام حماس من جنازتهم https://t.co/cM5NQPjVuC"
113,"#عاجل: المباحثات الروسية الأوروبية تصل إلى طريق مسدود لعدم تمكن الأطراف من سماع بعضهم البعض https://t.co/jXPGahzYHB"
114,"#عاجل: مصر تطلب من شركات الطيران تزويدها ببيانات الركاب مسبقاً ليتسنى لها الترحيب بهم كما يجب https://t.co/oG2PybPznk"
115,"#عاجل: وزير الدفاع الإسرائيلي يشكر ابن سلمان على حسن الترحيب في مضافة البحرين https://t.co/EpFLJK74Tw"
116,"#عاجل: بايدن يقلّد أمير قطر وسام أفضل أمير اسمه تميم في العالم https://t.co/Mu91juZzsb"
117,"#عاجل: مفاوضات الجزائر: عباس وهنيّة يتفقان على فتح سجون حماس على سجون السلطة وبناء سجن كبير موحد https://t.co/ykUF2okAoj"
118,"#عاجل: ابن زايد يُبهر الرئيس الإسرائيلي بالعمارة الإماراتية ليقنعه بتوقيع عقد إعادة إعمار الهيكل https://t.co/9tr8xXI6uo"
119,"#عاجل : إسرائيل تقترح على الإمارات التخلي عن القبة الحديدية وأخذ الإصبع الأوسط https://t.co/7jjaENSq5B"
120,"#عاجل: ماكرون يطالب الجزائر بتغيير لقبها ليصبح ""بلد المليون متوفٍ لأسباب طبيعية"" https://t.co/GlmGQqrLvy"
121,"#عاجل: الأسد يعفو عن العسكريين الفارين ويمنحهم شرف قتل السوريين مجدداً https://t.co/E37nIZp2MY"
122,"#عاجل: ازدياد القلق بين سكان الإمارات من اكتشاف السلطات قلقهم حيال الوضع الأمني https://t.co/qjkPvsw2PL"
123,"#عاجل: مخاوف من عودة الحريري للسياسة نظراً لإعلانه التنحي https://t.co/R6H9wJAGmy"
124,"#عاجل: سعد الحريري يعتزل السياسة ليتيح الفرصة أمام الوجوه الجديدة من إخوته https://t.co/jXYDlTSQll"
125,"#عاجل: الأرصاد الجوية تحذر المواطنين من الضباب وانعدام الرؤيا والسيول والدخول إلى الحمام https://t.co/VEkvIiPowk"
126,"#عاجل: صعود مدوٍ لسهم «أترضاه لزوجتك؟» مقابل سهم «أترضاه لأختك؟» https://t.co/JhLlajc6cx"
127,"#عاجل: الإمارات توسع عملياتها ضد الحوثي وتقصف جناح اليمن في إكسبو دبي https://t.co/CLOCR8uwgg"
128,"#عاجل: التحالف العربي يلقن الحوثيين درساً في استهداف المدنيين على الأصول https://t.co/b8ikDoAuge"
129,"#عاجل: قيس سعيد يجرد القضاة من امتيازاتهم تمهيداً لتجريدهم من ملابسهم https://t.co/pol2TLrIKC"
130,"#عاجل: عدسة الحدود ترصد قيس سعيد خارجاً من محكمة https://t.co/RKhJhloiRD"
131,"#عاجل: الشرطة الإسرائيلية تعثر على نسخة سليمة من القانون الدولي بين ركام بيت الصالحية https://t.co/EZR3aVqg8E"
132,"#عاجل: محكمة إنستاغرام تأمر بإجلاء منى الكرد من الرأي العام https://t.co/GUWTKafW8q"
133,"#عاجل: الإمارات تستنكر الهجوم على مطار مدني مع أنها لا تستهدف في اليمن سوى المطارات والمدارس والمستشفيات والشوارع وبيوت العزاء العسكرية https://t.co/GDi6cmPvaQ"
134,"#عاجل: الفصائل الفلسطينية تصل إلى الجزائر لبحث سبل عقد جولة مصالحة في تايلند https://t.co/S0kdW4QgUC"
135,"#عاجل: سعيّد يطلق استشارة إلكترونية تتيح للمواطنين اختيار طريقة القمع التي يفضلونها https://t.co/Xv076Re7w5"
136,"#عاجل: قيس سعيد يأمر بإيقاف بطولة أمم إفريقيا وسجن الحكم الزامبي وإعدام المنصف المرزوقي https://t.co/9G9K86ZT6d"
137,"#عاجل: السلطات اللبنانية تعد بتوفير بيئة أكثر أمناً للمتحرش لا تجبره على الهجرة https://t.co/VNxe0faZ3L"
138,"وتمنى محمد شفاءً عاجلاً لابنة عمه بسمة وأهداها أجهزة إلكترونية مزينة بأحدث برامج التجسس والذكاء الاصطناعي
https://t.co/aUokrAW0wN"
139,"#عاجل: ابن سلمان يتقدّم بجزيل الشكر لنفسه عبر حساب الأميرة بسمة https://t.co/YOOI0YAPRR"
140,"#عاجل: الأمن الفلسطيني يعتدي على نجل أسير لأن والده ليس هنا ليُضرب https://t.co/O2sljgpEKs"
141,"#عاجل: ملك الأردن يعرض تشكيلته من الخطوط الحمراء على وزير الدفاع الإسرائيلي https://t.co/p12RvD2U2Y"
142,"#عاجل: إيقاف شحنة مساعدات إنسانية من الإمارات إلى أهل اليمن https://t.co/PLVSElerwn"
143,"#عاجل: الأردن: تعديل دستوري بإضافة مادة «الأردنيون والأردنيات والنواب والنائبات والوزراء والوزيرات لا علاقة لهم بقرارات الدولة المهمة» https://t.co/HQDzHwTReq"
144,"#عاجل: قيس يهدد منصف بتحويل حكمه للإعدام إن لم يرجع إلى تونس قبل انتهائه من العدّ لــ ٣ https://t.co/7sOOYp2s09"
145,"#عاجل: محمد بن راشد يعرض على الأميرة هيا دفع قيمة تسوية الطلاق على شكل قصائد https://t.co/zDdG3ubqji"
146,"#عاجل: القضاء المصري يصدر أحكاماً مختلفة على علاء وباقر وأوكسجين ليثبت أنه درس ملفاتهم بعناية https://t.co/npvd2tYJyL"
147,"#عاجل: القضاء المصري يحكم بسجن علاء وأوكسجين وباقر وكأنهم كانوا طلقاء كل هذه الفترة https://t.co/slvqg3sG3e"
148,"#عاجل: ابن سلمان ينقل مهام الإشراف على الحج والعمرة لهيئة الترفيه https://t.co/s6Izeim2je"
149,"#عاجل: مفاوضات فيينا: الغرب يهدد إيران بإفلات إسرائيل لتوجيه ضربة نووية إليها ما لم توقف أنشطتها النووية https://t.co/ArNpE7tEhl"
150,"#عاجل: قيس سعيد يطالب بتغيير الدستور الحالي لأنه لا يتماشى مع الدستور https://t.co/XMPIwrD6Zv"
151,"#عاجل: ليبيا: تأجيل الإعلان عن المرشحين لحين انتهاء الانتخابات https://t.co/ufavCp7nYS"
152,"#عاجل: لبنان يسمح للفلسطينيين بالعمل نظراً لصعوبة هجرتهم للخارج https://t.co/PiSiYbAB7x"
153,"#عاجل: ابن سلمان يرفض استقالة قرداحي https://t.co/q6l90qpGaY"
154,"#عاجل: إسرائيل تهدد بوضع النمسا على قائمة الإرهاب إن استضافت مسؤولين إيرانيين في مباحثات فيينا بشأن الملف النووي الإيراني https://t.co/VcuyUSsMbE"
155,"#عاجل: ردًا على المظاهرات ضد التطبيع: ملك المغرب يدعو لقطع العلاقات مع الشعب https://t.co/G02Vl3HW8e"
156,"#عاجل: الغرب يتعم إفريقيا بالتسبب بالمتحور الجديد لسماحها بوجود سكان أكثر من حصتها باللقاحات https://t.co/00Bl5DxPNJ"
157,"#عاجل: السيسي يفاجئ المصريين بعاصمة مائية جديدة https://t.co/Uc7qPjqqaL"
158,"#عاجل: هاني شاكر يصدر أمراً بمنع أي شخص من الغناء في الحمام إذا لم يكن عضواً في نقابة المهن الموسيقية https://t.co/OmzSRuzEB9"
159,"#عاجل: إلغاء المفتي ومنصبه بعد انزعاج الأسد من تشبيحه المفرط https://t.co/3Z0GGAzUis"
160,"#عاجل: سيف القذافي يعيش في جلباب أبيه https://t.co/7NEIpDxEpU"
161,"#عاجل: بولندا تمنع شحنة لاجئين قادمين من بلاروسيا لعدم استيفائهم شروط الجودة الأوروبية https://t.co/ZtvgYL6gCO"
162,"#عاجل: سعّيد يؤكد للمحتجين أن فتح مكب نفايات متفق مع الدستور https://t.co/pHuIA7zuOt"
163,"#عاجل: الجيش السوداني يؤكد أنه لم يطلق النار على المتظاهرين وإنما الرصاص https://t.co/lvOwXlUcBU"
164,"#عاجل: الحشد الشعبي يندد بمحاولة اغتيال الكاظمي وفشلها https://t.co/vmg56qCpM7"
165,"#عاجل: الحكومة العراقية تلفت انتباه الميليشيات إلى أن الكاظمي رئيس وزراء وليس ناشطاً سياسياً https://t.co/r06kxgMwaU"
166,"#عاجل: الدول العظمى تتعهد بخفض انبعاثات الكربون بنسبة 1350% https://t.co/0U7ccem3yV"
167,"#عاجل: زوكربرغ يبتكر عالماً موازياً يكون عرصاً فيه أيضاً https://t.co/47bhwVarX7"
168,"#عاجل: وفد إسرائيلي يزور السودان للاطمئنان أن الجيش لن يخضع لإرادة الشعب بأي مسألة https://t.co/AoMaS6qn8M"
169,"#عاجل: ابن سلمان يقرر بناء لبنان جديد له وحده في نيوم https://t.co/eFoXe8NcLC"
170,"عاجل# https://t.co/w4SNiOg5tG"
171,"#عاجل: ابن سلمان يحتجز عائلة الجبري بعدما تبيَّن له إماكنية أن تَزِر وازرةٌ وزرَ أخرى https://t.co/SQNOC50Ize"
172,"#عاجل https://t.co/YHUv9tf45S"
173,"#عاجل https://t.co/gXf4AvyXzM"
174,"#عاجل: إردوغان يحول سفارات الدول العشر إلى مساجد https://t.co/kV1fnyga3C"
175,"#عاجل: بينيت: المنظمات الفلسطينية تستعمل الصور والمقالات لتحضير مواد متفجرة https://t.co/SUmMeUYOhY"
176,"#عاجل: الإمارات تمول كتيبة من المرتزقة لإخماد ثورة بركان لاس بالماس https://t.co/YEyEUGQUq7"
177,"#عاجل: الأسد يتأكد من زوال آثار الدماء عن يديه استعداداً للانفتاح على المجتمع الدولي https://t.co/WV72aeG8nl"
178,"#عاجل: المجتمع الدولي يمنح بشار الشرعية بعد اجتيازه اختبارات التحمل https://t.co/QYix74wVuM"
179,"#عاجل: الشعب العراقي يطالب كتلة ""سائرون"" بتحديد اتجاه مسيرهم https://t.co/Rfi93Fak3J"
180,"#عاجل: العالم: الأسد بريء حتى نجد من تبقى من الشهود لتثبت إدانته https://t.co/BoswQ9gU9d"
181,"#عاجل: السلطات الأردنية تتوصل لطريقة تحول من خلالها الدم إلى مياه https://t.co/4LTGPGK7O8"
182,"#عاجل: حزب الله يعرض اتفاقية الأمن مقابل وقف التحقيق https://t.co/bMIguu6tL1"
183,"#عاجل: الأردن يشتري من إسرائيل مزيداً من مياه الأردن بسعر مخفض https://t.co/XlOD20GLzP"
184,"#عاجل: الخصاونة: ما دايم إلا وجه الملك https://t.co/myy2k1OTTM"
185,"#عاجل: التعديلات الوزارية: اهتراء المصحف الذي يقسم عليه الوزراء الأردنيون https://t.co/a4R0CmaNXK"
186,"#عاجل: الحكومة الأردنية توزع حقائب وزارية جديدة احتفالًا بالعام الدراسي الجديد https://t.co/ykh7rlPXTC"
187,"#عاجل: العراق: قناصون يتعهدون برفع نسبة المشاركة في الانتخابات المقبلة https://t.co/ky3Qy2WsfB"
188,"#عاجل: بشار يسمح لعمه بالعودة ليعلمه كيف يرتكب القادة الحقيقيون المجازر https://t.co/A6DODFlpYo"
189,"#عاجل: الملك عبدالله ينجح برفع اسم الأردن على إحدى القوائم العالمية وجذب اهتمام العالم بها https://t.co/gRuQpM1PXf"
190,"#عاجل: محمد بن راشد: وثائق باندورا أثبتت أنني مسؤول شريف وشركاتي الأوفشور مسخّرة لخدمة الدولة وهدفها التجسس https://t.co/855QiBrfYc"
191,"#عاجل: ملك المغرب يتعهد بمحاسبة كل من يتجرأ على قذف ثروة محصناته https://t.co/8hjvxjw60P"
192,"#عاجل: وثائق باندورا: الأردن يقرر حجب النت ومنع القراءة https://t.co/ptRT4g0vXn"
193,"#عاجل: قيس يجد مادة دستورية تتيح له تعيين مجلس نواب https://t.co/bv8xFp4mGR"
194,"#عاجل: الانتخابات القطرية تفرز مجلس شورى قوياً مفتول العضلات خالياً من النساء https://t.co/ej1ebJO0FX"
195,"#عاجل: طالبان تؤكد التزامها بالموضة العالمية بفرض اللحى على الرجال https://t.co/3Sd7m86SXJ"
196,"#عاجل: البرلمان اللبناني يمنح الحكومة الجديدة ثقة عمياء نتيجة انقطاع الكهرباء https://t.co/qOKSBbt5lW"
197,"#عاجل: ميقاتي: دخول الوقود الإيراني انتهاك لسيادة لبنان.. ولو سمحت فوّلي التنك على الآخر https://t.co/ZcekbRkl7T"
198,"#عاجل #الاتفاق_الابراهيمي - ""قطار السلام"" يدهس الفلسطينيين...نظراً لسرعة قطار التطبيع، يبدو أن العين الإماراتية فوّتت بعضاً من المحطات أثناء تتبع مسيره، نذكر منها محطة التوسع الاستيطاني والقمع في الشيخ جراح والحرب على غزة وحقيقة أن الشعب الفلسطيني يعيش تحت نظام احتلال وفصل عنصري https://t.co/2GxNvS2zL2"
